# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 "a	4.4174189387	-0.507192029783	-0.222105849557	-0.146383523715	-0.299124614365	-0.0281650333248	-0.0375582441719
 "a 	5.16962783375	-0.911823770036	-0.171731226172	-0.252990275967	-0.2789267839	0.0216184286709	0.0506397949729
 "c	5.03044320304	-0.370057529888	-0.0872052648007	-0.120196401543	-0.137638169163	-0.0783947859531	-0.160918797791
 "d	5.04205998421	-1.1989832344	-0.13904367729	-0.153736669907	0.1114504232	-0.248373036731	0.0719921913278
 "h	5.08381555297	0.241631140274	-0.0473722355852	-0.0369519510259	-0.0615967949755	-0.0844781054656	-0.0644456517172
 "i	4.5228953225	-1.3251702485	-0.128432626057	-0.0852294744055	-0.11647333044	-0.214487987786	-0.0649845930056
 "i 	5.40138135354	-0.940594681404	-0.029035620673	-0.013746364272	-0.0165417297824	-0.0162843076473	-0.0129013343703
 "p	4.91512282723	-0.82455181103	0.0166482988204	-0.304524006773	0.25868838506	-0.178447029359	-0.221918411461
 "s	4.76637756597	-0.0815931462282	0.118190755001	-0.111966754918	-0.172160522842	0.124720335337	-0.185548302564
 "t	4.39168411653	-0.501497029433	-0.0168740091653	-0.155857761251	-0.16140598404	-0.163583662473	-0.154371312321
 "th	4.69920946751	-0.284381791894	-0.130384875737	-0.0996162170734	-0.0884577224377	-0.106217463435	-0.0819536026922
 "the	4.91769904162	-0.231181636526	-0.130085793917	-0.0976917970931	-0.0770415732188	-0.101935351233	-0.0798903364836
 "w	4.84316123924	-0.0108619409988	-0.142164695566	-0.0454191455294	-0.0892624718124	-0.0527838609938	0.161297614195
 ##	4.31822966798	0.978244628912	-0.038947819435	-0.0397501699421	-0.0695860075636	-0.0485121587671	-0.0419266806627
 ###	4.32533701844	0.88865689384	-0.0328839033436	-0.0394004436569	-0.0678569210782	-0.0480833571071	-0.0404157137662
 ### 	4.34067033275	0.816528876425	-0.0311325735549	-0.038615714274	-0.0672424887305	-0.0474599277659	-0.0394349724658
 #0	3.96642966566	0.130231050378	-0.0184843120073	-0.0446620083957	-0.036067786824	-0.0312386430453	-0.0347281923545
 #00	4.33489275288	0.0578785240144	-0.00736312123338	-0.0204233880267	-0.0186088772589	-0.0135047894884	-0.0169879050382
 #000	5.04889928786	0.0156927553838	-0.00328720192397	-0.00888494595404	-0.00655547926464	-0.00475260418277	-0.00644063504774
 #003	7.01361256388	0.00640145973733	-0.000341352093272	-0.00148068595867	-0.00108628875299	-0.000836885001018	-0.00110054530551
 #005	6.92660118689	0.00786587927846	-0.000592743975429	-0.00154622486845	-0.00226173562661	-0.00127110543975	-0.00153507437151
 #006	5.96519001974	0.0171827167382	-0.00162566195777	-0.0050683767473	-0.00657964930662	-0.00362388441131	-0.00439835660063
 #007	5.84523070466	0.0240905605124	-0.00195915909981	-0.00707141786623	-0.00546298398544	-0.00526246024418	-0.00616559239893
 #00a	6.88270699333	0.00426299513029	-0.00124353843096	-0.00169728365348	-0.00125376710205	-0.0013303426173	-0.0011771227336
 #03	5.91500027521	0.0223418005621	-0.00455210635805	-0.0104444770631	-0.00753377942153	-0.00709627859906	-0.00810917713144
 #030	6.0656605501	0.0207959275504	-0.00455651814297	-0.0103677272436	-0.0073312459373	-0.00691796223285	-0.00792382382157
 #036	8.98072492059	0.00249703251001	-7.51946551713e-05	-0.000255072799917	-0.000310188762294	-0.000278045072754	-0.000316191351044
 #05	7.02769730376	0.00801989828615	-0.000684890645303	-0.00247424203779	-0.00221283944697	-0.0018174172927	-0.00218587593904
 #050	7.96912400891	0.00834972358381	-0.000664254134597	-0.00245989278633	-0.00221860229304	-0.00176879537387	-0.00225259260951
 #06	5.55972491163	0.0484023475338	-0.00748789901465	-0.0120373788292	-0.0078435200874	-0.0102879011654	-0.00894627520653
 #065	5.59803101049	0.0486787912676	-0.0074574117247	-0.0120974885819	-0.00787168014104	-0.0103243979	-0.00898573628165
 #08	7.86558332997	0.00167855324575	-0.000184118157193	-0.000529093751666	-0.00037991763522	-0.000596039755318	-0.000491563486296
 #089	7.95110550341	0.00160872611611	-0.000168145790531	-0.000483352511035	-0.000347382424261	-0.000554438167485	-0.000437302215248
 #0a	6.59196213135	0.0103506860608	-0.00180526603002	-0.00560676359992	-0.00338536393947	-0.00257296591848	-0.00266337859349
 #0a6	6.71896182211	0.0103482192922	-0.00182656011034	-0.00568798926883	-0.00342530956883	-0.00260062908839	-0.0026915080464
 #0d	6.77245050706	0.00362797145414	-0.000294247562811	-0.00107545318561	-0.00326679318053	-0.0010157470859	-0.00123664569611
 #0d1	7.30362835968	0.00273518037063	-0.000239862584785	-0.000895589389258	-0.000738156788399	-0.000888319901898	-0.00106088283317
 #0e	8.68062032814	0.00183691866246	-0.000102144075882	-0.000212475441977	-0.000266799457426	-0.000299501137166	-0.000556137779378
 #0f	5.14991197058	0.0148584426697	-0.00178721439362	-0.00522217594213	-0.00314645197095	-0.00345154580089	-0.00349257501131
 #0f0	5.27942294647	0.0126023685301	-0.00155560644785	-0.00439712490037	-0.00241933831097	-0.00287819282234	-0.00291913217065
 #0f1	7.49912037966	0.0035951552264	-0.000375782581255	-0.00131017368565	-0.00110386673361	-0.000892147562789	-0.000895218994148
 #1	4.15923440863	0.0712392564712	-0.0101946578611	-0.0179286547892	-0.0183035823635	-0.0148128157042	-0.0166674418428
 #11	7.04198326101	0.00458774902263	-0.00263178824575	-0.00305282243099	-0.00165585175136	-0.00343199744751	-0.00134200092406
 #111	7.25795832285	0.00455330983173	-0.00270548676296	-0.00312315435296	-0.00168866614669	-0.00351828521142	-0.00136202819389
 #13	6.7890713883	0.0137735113713	-0.000356197884082	-0.000834177754573	-0.000771416854506	-0.000618326685741	-0.000869355068167
 #131	7.03481477153	0.0139425311473	-0.000352544752406	-0.000815523579418	-0.000761073913586	-0.0006021392977	-0.000756712858107
 #16	6.52113607878	0.00435980442701	-0.000389685977601	-0.00137168802089	-0.00118848825311	-0.00107055067794	-0.00150658117568
 #161	6.74534857729	0.00378224248523	-0.000382292144527	-0.00133131005398	-0.00115928490878	-0.00104744160526	-0.00149330902108
 #17	7.24906937543	0.00154644028353	-0.000166715967674	-0.000605430349105	-0.000633756182354	-0.000510672849456	-0.000533780913484
